price,borough,room_type,min_nights,num_reviews,host_count
110,Staten Island,Private room,2,0,1
75,Staten Island,Entire home/apt,1,1,1
100,Staten Island,Private room,2,0,1
299,Staten Island,Entire home/apt,3,59,1
85,Staten Island,Entire home/apt,2,49,2
70,Staten Island,Entire home/apt,3,1,1
275,Staten Island,Entire home/apt,4,29,2
185,Staten Island,Entire home/apt,2,15,1
85,Staten Island,Entire home/apt,2,8,1
118,Staten Island,Private room,1,0,1
1250,Staten Island,Entire home/apt,14,0,1
180,Staten Island,Entire home/apt,1,136,1
700,Staten Island,Entire home/apt,7,0,1
299,Staten Island,Entire home/apt,10,0,3
75,Staten Island,Entire home/apt,2,20,2
100,Staten Island,Entire home/apt,2,11,2
70,Staten Island,Entire home/apt,5,83,1
235,Staten Island,Private room,1,1,1
56,Staten Island,Private room,1,145,1
41,Staten Island,Private room,2,7,1
99,Staten Island,Private room,1,82,1
180,Staten Island,Entire home/apt,30,9,2
75,Staten Island,Entire home/apt,3,21,1
83,Staten Island,Entire home/apt,30,3,1
75,Staten Island,Entire home/apt,30,3,2
50,Staten Island,Private room,2,4,3
40,Staten Island,Private room,2,9,3
120,Staten Island,Private room,2,4,3
55,Staten Island,Entire home/apt,30,2,1
65,Staten Island,Entire home/apt,5,62,1
150,Staten Island,Entire home/apt,3,1,1
51,Staten Island,Entire home/apt,4,29,1
70,Staten Island,Entire home/apt,5,1,1
65,Staten Island,Private room,1,1,3
46,Staten Island,Private room,1,4,1
75,Staten Island,Entire home/apt,1,20,1
65,Staten Island,Private room,1,1,3
130,Staten Island,Entire home/apt,1,1,3
109,Staten Island,Entire home/apt,5,0,1
100,Staten Island,Entire home/apt,2,2,1
91,Staten Island,Entire home/apt,30,61,1
62,Staten Island,Entire home/apt,1,0,1
40,Staten Island,Private room,1,0,2
250,Queens,Private room,1,0,1
195,Queens,Private room,1,1,2
195,Queens,Private room,1,4,2
36,Staten Island,Private room,2,18,1
40,Staten Island,Private room,1,56,2
274,Queens,Entire home/apt,2,34,1
80,Staten Island,Private room,1,7,1
